ProductID,SupplierID,SupplierName,SupplierCost,LeadTimeDays,MinOrderQty,LastUpdated
1001,SUP001,Mountain Gear Co,100.09,14,50,2025-12-15
1002,SUP001,Mountain Gear Co,174.79,14,30,2025-12-15
1003,SUP002,Urban Footwear Inc,30.00,7,100,2025-12-18
1004,SUP002,Urban Footwear Inc,22.50,7,100,2025-12-18
1005,SUP001,Mountain Gear Co,82.00,21,25,2025-12-15
1006,SUP003,Sprint Athletics,55.00,10,40,2025-12-20
1007,SUP001,Mountain Gear Co,60.00,14,30,2025-12-15
1008,SUP002,Urban Footwear Inc,18.50,7,150,2025-12-18
2001,SUP004,OutdoorPro Supplies,130.00,28,20,2025-12-10
2002,SUP004,OutdoorPro Supplies,168.00,28,15,2025-12-10
2003,SUP004,OutdoorPro Supplies,48.00,21,50,2025-12-10
2004,SUP004,OutdoorPro Supplies,92.00,21,30,2025-12-10
2005,SUP004,OutdoorPro Supplies,75.00,28,25,2025-12-10
2006,SUP005,Trek Equipment,29.50,14,60,2025-12-12
2007,SUP005,Trek Equipment,16.50,14,100,2025-12-12
2008,SUP004,OutdoorPro Supplies,33.00,21,40,2025-12-10
2009,SUP006,CampChef Direct,25.50,10,80,2025-12-22
2010,SUP006,CampChef Direct,18.00,10,100,2025-12-22
3001,SUP007,ActiveWear Global,14.50,7,200,2025-12-14
3002,SUP007,ActiveWear Global,29.00,7,100,2025-12-14
3003,SUP007,ActiveWear Global,55.00,14,50,2025-12-14
3004,SUP007,ActiveWear Global,85.00,14,30,2025-12-14
3005,SUP007,ActiveWear Global,25.50,7,100,2025-12-14
3006,SUP007,ActiveWear Global,18.00,7,150,2025-12-14
3007,SUP008,Merino Essentials,33.00,21,60,2025-12-08
3008,SUP007,ActiveWear Global,9.00,7,300,2025-12-14
3009,SUP007,ActiveWear Global,12.50,7,200,2025-12-14
3010,SUP007,ActiveWear Global,11.00,7,200,2025-12-14
4001,SUP009,BikeWorld Distribution,420.00,35,10,2025-12-05
4002,SUP009,BikeWorld Distribution,700.00,42,5,2025-12-05
4003,SUP009,BikeWorld Distribution,140.00,28,20,2025-12-05
4004,SUP010,SafeRide Gear,29.50,14,80,2025-12-16
4005,SUP010,SafeRide Gear,18.50,14,100,2025-12-16
4006,SUP010,SafeRide Gear,12.50,14,150,2025-12-16
4007,SUP009,BikeWorld Distribution,11.00,21,200,2025-12-05
4008,SUP009,BikeWorld Distribution,5.50,21,300,2025-12-05
5001,SUP011,AquaVenture Corp,245.00,42,8,2025-12-01
5002,SUP011,AquaVenture Corp,340.00,42,5,2025-12-01
5003,SUP011,AquaVenture Corp,33.00,21,50,2025-12-01
5004,SUP011,AquaVenture Corp,25.50,14,80,2025-12-01
5005,SUP011,AquaVenture Corp,14.50,14,100,2025-12-01
5006,SUP011,AquaVenture Corp,18.00,14,100,2025-12-01
5007,SUP011,AquaVenture Corp,11.00,7,200,2025-12-01
6001,SUP012,FitGear Wholesale,18.50,10,100,2025-12-19
6002,SUP012,FitGear Wholesale,11.00,10,150,2025-12-19
6003,SUP012,FitGear Wholesale,55.00,21,40,2025-12-19
6004,SUP012,FitGear Wholesale,22.00,21,60,2025-12-19
6005,SUP012,FitGear Wholesale,7.50,10,200,2025-12-19
6006,SUP012,FitGear Wholesale,12.50,10,100,2025-12-19
6007,SUP012,FitGear Wholesale,11.00,10,120,2025-12-19
6008,SUP013,TechFit Electronics,37.00,14,80,2025-12-11
7001,SUP014,AlpineGear Industries,225.00,35,15,2025-12-03
7002,SUP014,AlpineGear Industries,168.00,35,20,2025-12-03
7003,SUP014,AlpineGear Industries,33.00,21,50,2025-12-03
7004,SUP014,AlpineGear Industries,22.00,21,80,2025-12-03
7005,SUP014,AlpineGear Industries,18.50,21,100,2025-12-03
7006,SUP014,AlpineGear Industries,66.00,28,30,2025-12-03
7007,SUP014,AlpineGear Industries,5.50,14,500,2025-12-03
8001,SUP015,PackMaster Ltd,48.00,14,50,2025-12-17
8002,SUP015,PackMaster Ltd,66.00,14,40,2025-12-17
8003,SUP015,PackMaster Ltd,29.50,14,80,2025-12-17
8004,SUP015,PackMaster Ltd,37.00,14,60,2025-12-17
8005,SUP015,PackMaster Ltd,33.00,14,60,2025-12-17
8006,SUP015,PackMaster Ltd,12.50,14,150,2025-12-17
8007,SUP015,PackMaster Ltd,40.00,14,50,2025-12-17
8008,SUP015,PackMaster Ltd,18.50,14,100,2025-12-17
